S.no1,tweet_id,created_at,screen_name,name,user_description,followers_count,text,location,coordinates,geo,iso_language_code,retweet_count,favorite_count,user_created_at,entities,verified,tweet_source,in_reply_to_status_id_str,in_reply_to_user_id_str
1,1.31165E+18,10/1/2020 12:36,FreeVoiceIN,Free Voice,"We tell stories from different angles, with an unbiased view of current affairs. #FreeVoice",192,"#Migration from #Dubai, #UK played key role in spreading #COVID__19 in #India finds IIT study #IndiaFightsCorona… https://t.co/epC3ShbwER",,,,en,0,0,Tue Nov 05 10:19:57 +0000 2019,"{'hashtags': [{'text': 'Migration', 'indices': [0, 10]}, {'text': 'Dubai', 'indices': [16, 22]}, {'text': 'UK', 'indices': [24, 27]}, {'text': 'COVID__19', 'indices': [57, 67]}, {'text': 'India', 'indices': [71, 77]}, {'text': 'IndiaFightsCorona', 'indices': [94, 112]}], 'symbols': [], 'user_mentions': [], 'urls': [{'url': 'https://t.co/epC3ShbwER', 'expanded_url': 'https://twitter.com/i/web/status/1311646041830166528', 'display_url': 'twitter.com/i/web/status/1…', 'indices': [114, 137]}]}",FALSE,TweetDeck,,
2,1.31165E+18,10/1/2020 12:33,akanksha_vaidya,Akanksha vaidya,"Engineer, 
HR Professional.",194,"RT @kishanreddybjp: As #IndiaFightsCorona, it is imperative we stick to all #COVID19 related hygiene protocols and norms. 

For those who h…","Nagpur, India",,,en,4,0,Wed Mar 07 03:03:48 +0000 2012,"{'hashtags': [{'text': 'IndiaFightsCorona', 'indices': [23, 41]}, {'text': 'COVID19', 'indices': [76, 84]}], 'symbols': [], 'user_mentions': [{'screen_name': 'kishanreddybjp', 'name': 'G Kishan Reddy', 'id': 160509668, 'id_str': '160509668', 'indices': [3, 18]}], 'urls': []}",FALSE,Twitter for Android,,
3,1.31165E+18,10/1/2020 12:33,AnilP18101729,ANIL PARLI ( Anil P ),"https://t.co/lhRnAu0muT
https://t.co/DCJv49sOvS",189,"RT @mygovindia: Guidelines for Re-opening of Schools, Colleges and Educational Institutions after 15th October. #Unlock5 #IndiaFightsCorona…",680581,,,en,15,0,Sat Sep 15 05:08:28 +0000 2018,"{'hashtags': [{'text': 'Unlock5', 'indices': [112, 120]}, {'text': 'IndiaFightsCorona', 'indices': [121, 139]}], 'symbols': [], 'user_mentions': [{'screen_name': 'mygovindia', 'name': 'MyGovIndia', 'id': 2686834802, 'id_str': '2686834802', 'indices': [3, 14]}], 'urls': []}",FALSE,Twitter for Android,,
4,1.31165E+18,10/1/2020 12:32,taurean_may,Trupti Agarwal,Freelance thinker. Social mediaholic. Travel trailblazer.  Keen Observer. Obsessive.,34,"RT @mygovindia: Guidelines for Re-opening of Schools, Colleges and Educational Institutions after 15th October. #Unlock5 #IndiaFightsCorona…",,,,en,15,0,Mon Apr 20 19:46:41 +0000 2009,"{'hashtags': [{'text': 'Unlock5', 'indices': [112, 120]}, {'text': 'IndiaFightsCorona', 'indices': [121, 139]}], 'symbols': [], 'user_mentions': [{'screen_name': 'mygovindia', 'name': 'MyGovIndia', 'id': 2686834802, 'id_str': '2686834802', 'indices': [3, 14]}], 'urls': []}",FALSE,Twitter for Android,,
5,1.31164E+18,10/1/2020 12:31,Gyansinghbhati6,Gyan Singh 🇮🇳🇮🇳,RAS Aspirant,16,"RT @CharuPragya: My heartfelt gratitude to the entire police force and administration working day &amp; night as #IndiaFightsCorona.

Rarely an…",Western Rajasthan ,,,en,4866,0,Tue May 22 16:32:54 +0000 2018,"{'hashtags': [{'text': 'IndiaFightsCorona', 'indices': [113, 131]}], 'symbols': [], 'user_mentions': [{'screen_name': 'CharuPragya', 'name': 'Charu Pragya', 'id': 2329010299, 'id_str': '2329010299', 'indices': [3, 15]}], 'urls': []}",FALSE,Twitter for Android,,
6,1.31164E+18,10/1/2020 12:31,Theupdater_,COVID19 INDIA & OTHER,"Just a volunteer, providing updates across India within a minute just after concerned governments releases the data.",4338,"ICMR and Biological E. Limited, Hyderabad have developed highly purified antisera (raised in animals) for prophylax… https://t.co/7Zn2kqOzTa",Turn on post Notifications🔔,,,en,0,7,Sat May 30 08:40:55 +0000 2020,"{'hashtags': [], 'symbols': [], 'user_mentions': [], 'urls': [{'url': 'https://t.co/7Zn2kqOzTa', 'expanded_url': 'https://twitter.com/i/web/status/1311644874303709185', 'display_url': 'twitter.com/i/web/status/1…', 'indices': [117, 140]}]}",FALSE,Twitter for Android,,
7,1.31164E+18,10/1/2020 12:30,dileepvk_TNIE,Dileep V Kumar,"Journalist with @NewIndianXpress. 
Past @mathrubhuminews & Indiavision News. Covers health, science & subjects not assigned to others. RTs are not endorsements!",482,"#Kerala's #CoronaVirusUpdate #Thu

8135 fresh cases
7013 contact cases 
730 unknown source of infection 
29 deaths… https://t.co/cVUrQUfg2G","Trivandrum, India",,,en,0,0,Sun May 18 14:51:41 +0000 2014,"{'hashtags': [{'text': 'Kerala', 'indices': [0, 7]}, {'text': 'CoronaVirusUpdate', 'indices': [10, 28]}, {'text': 'Thu', 'indices': [29, 33]}], 'symbols': [], 'user_mentions': [], 'urls': [{'url': 'https://t.co/cVUrQUfg2G', 'expanded_url': 'https://twitter.com/i/web/status/1311644739322761218', 'display_url': 'twitter.com/i/web/status/1…', 'indices': [116, 139]}]}",TRUE,Twitter Web App,,
8,1.31164E+18,10/1/2020 12:30,BECIL_India,BECIL,,771,"We all have to take care of ourselves and our family. Stay at home and do your bit to stop the spread.

#BECIL… https://t.co/w235RPwPLy",,,,en,0,1,Wed Jun 28 12:22:48 +0000 2017,"{'hashtags': [{'text': 'BECIL', 'indices': [104, 110]}], 'symbols': [], 'user_mentions': [], 'urls': [{'url': 'https://t.co/w235RPwPLy', 'expanded_url': 'https://twitter.com/i/web/status/1311644643038097410', 'display_url': 'twitter.com/i/web/status/1…', 'indices': [112, 135]}]}",FALSE,Twitter for iPhone,,
9,1.31164E+18,10/1/2020 12:29,ratinvirgo,Ratindra,"Blessed to have my Master Sahib Ji.

Love to read: Spirituality, Philosophy, Technology, Science, Psychology. 
Interests: Software, UI/UX, Designs, Data Science",1390,"RT @thebetterindia: ""I got a list of about 15 lakh migrants who returned to Rajasthan from the government. So I decided to help."" #IndiaFig…",India,,,en,3,0,Sun Apr 05 18:04:16 +0000 2009,"{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'thebetterindia', 'name': 'The Better India', 'id': 16093478, 'id_str': '16093478', 'indices': [3, 18]}], 'urls': []}",FALSE,Twitter for Android,,
10,1.31164E+18,10/1/2020 12:28,TejasrPatel6,Tejas R Patel 🇮🇳,"!! Chemical Engineering student 👨🏻‍🔬 

!! Studying at Dharamsinh Desai University, Nadiad !!

!! Proud Hindu 🚩!! 

Proud Indian 🇮🇳 !!",236,RT @mygovindia: Here are the guidelines for the gathering of people in #Unlock5. #IndiaFightsCorona https://t.co/6dYBHBGLRE,"Nadiad, India",,,en,4,0,Thu Mar 14 08:46:53 +0000 2019,"{'hashtags': [{'text': 'Unlock5', 'indices': [71, 79]}, {'text': 'IndiaFightsCorona', 'indices': [81, 99]}], 'symbols': [], 'user_mentions': [{'screen_name': 'mygovindia', 'name': 'MyGovIndia', 'id': 2686834802, 'id_str': '2686834802', 'indices': [3, 14]}], 'urls': [], 'media': [{'id': 1311643301569650689, 'id_str': '1311643301569650689', 'indices': [100, 123], 'media_url': 'http://pbs.twimg.com/media/EjPkoiYUYAEPi9J.jpg', 'media_url_https': 'https://pbs.twimg.com/media/EjPkoiYUYAEPi9J.jpg', 'url': 'https://t.co/6dYBHBGLRE', 'display_url': 'pic.twitter.com/6dYBHBGLRE', 'expanded_url': 'https://twitter.com/mygovindia/status/1311643633221656577/photo/1', 'type': 'photo', 'sizes': {'thumb': {'w': 150, 'h': 150, 'resize': 'crop'}, 'medium': {'w': 1037, 'h': 1200, 'resize': 'fit'}, 'small': {'w': 588, 'h': 680, 'resize': 'fit'}, 'large': {'w': 1080, 'h': 1250, 'resize': 'fit'}}, 'source_status_id': 1311643633221656577, 'source_status_id_str': '1311643633221656577', 'source_user_id': 2686834802, 'source_user_id_str': '2686834802'}]}",FALSE,Twitter for Android,,
